band,mean,percent_finite,std
1,0.9126416395107905,60.0,0.16249512135982513
2,0.6874022757013639,60.0,0.20264451764523983
3,0.8877907395362854,60.0,0.26761986687779427
4,0.20403877013207725,60.0,0.13174819794949144
5,0.6536902512113253,60.0,0.23483052973945936
6,0.6128155911962191,60.0,0.2260292669137319
7,283.95152282714844,60.0,6.447200020154317
8,227.61251576741537,60.0,2.1867032448450723
9,235.27937825520834,60.0,3.604133685429891
10,241.3616714477539,60.0,4.640458345413208
11,259.82448323567706,60.0,9.873631954193115
12,235.33716583251953,60.0,2.427684168020884
13,262.62494405110675,60.0,10.513609031836191
14,262.6091079711914,60.0,10.576706329981485
15,261.00304921468097,60.0,10.186833024024963
16,247.1941909790039,60.0,6.048698782920837
