band,mean,percent_finite,std
1,0.5320205826025742,51.517155555555554,0.2228055871449984
2,0.37362908801207173,51.517155555555554,0.22076267261917776
3,0.42524104106884736,51.517155555555554,0.2481914936349942
4,0.03590936302834262,51.51588888888889,0.05835776745180528
5,0.268657915867292,51.517155555555554,0.17519657170543304
6,0.20717417162198287,51.51588888888889,0.13576766705283752
7,286.4738335242638,51.51588888888889,6.985177040100098
8,234.22322610708383,51.51588888888889,2.4620941625191617
9,243.07081427940955,51.51588888888889,3.3280324064768276
10,251.23398824838492,51.51588888888889,4.069132818625524
11,273.6365567720853,51.51588888888889,8.267500363863432
12,251.1855703500601,51.51588888888889,4.559134487922375
13,276.4424403263972,51.51588888888889,8.763672324327322
14,276.0216751098633,51.51588888888889,8.899820199379555
15,273.7503662109375,51.51588888888889,8.545843821305494
16,260.2610549926758,51.51588888888889,5.821166574954987
